sensor_set,system,subject,test_windows,accuracy,baseline_precision,baseline_recall,baseline_f1,stress_precision,stress_recall,stress_f1,false_stress_alerts,missed_stress_windows,tuned_threshold,tuned_weight
TEMP_only,Combined SVM + baseline,S10,67,0.6119402985074627,0.6119402985074627,1.0,0.7592592592592593,0.0,0.0,0.0,0,26,38.0,0.2
TEMP_only,SVM only,S11,67,0.9850746268656716,1.0,0.9761904761904762,0.9879518072289156,0.9615384615384616,1.0,0.9803921568627451,1,0,23.0,
TEMP_only,Personalized baseline only,S11,67,0.8208955223880597,1.0,0.7142857142857143,0.8333333333333333,0.6756756756756757,1.0,0.8064516129032258,12,0,31.0,0.0
TEMP_only,Combined SVM + baseline,S11,67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,37.5,0.2
TEMP_only,SVM only,S13,66,0.7727272727272727,0.7368421052631579,1.0,0.8484848484848484,1.0,0.375,0.5454545454545454,0,15,37.5,
TEMP_only,Personalized baseline only,S13,66,0.8787878787878788,1.0,0.8095238095238095,0.8947368421052632,0.75,1.0,0.8571428571428571,8,0,35.5,0.0
TEMP_only,Combined SVM + baseline,S13,66,0.9242424242424242,1.0,0.8809523809523809,0.9367088607594937,0.8275862068965517,1.0,0.9056603773584906,5,0,34.0,0.1
TEMP_only,SVM only,S14,65,0.36923076923076925,0.0,0.0,0.0,0.36923076923076925,1.0,0.5393258426966292,41,0,17.0,
TEMP_only,Personalized baseline only,S14,65,0.9846153846153847,1.0,0.975609756097561,0.9876543209876543,0.96,1.0,0.9795918367346939,1,0,35.5,0.0
TEMP_only,Combined SVM + baseline,S14,65,0.5384615384615384,1.0,0.2682926829268293,0.4230769230769231,0.4444444444444444,1.0,0.6153846153846153,30,0,36.5,0.30000000000000004
TEMP_only,SVM only,S15,66,0.6363636363636364,0.9047619047619048,0.4634146341463415,0.6129032258064516,0.5111111111111111,0.92,0.6571428571428571,22,2,17.5,
TEMP_only,Personalized baseline only,S15,66,0.6212121212121212,0.6333333333333333,0.926829268292683,0.7524752475247526,0.5,0.12,0.1935483870967742,3,22,35.5,0.0
TEMP_only,Combined SVM + baseline,S15,66,0.6212121212121212,0.6212121212121212,1.0,0.766355140186916,0.0,0.0,0.0,0,25,38.5,0.2
TEMP_only,SVM only,S16,65,0.49230769230769234,1.0,0.1951219512195122,0.326530612244898,0.42105263157894735,1.0,0.5925925925925926,33,0,18.0,
TEMP_only,Personalized baseline only,S16,65,0.6307692307692307,0.6307692307692307,1.0,0.7735849056603773,0.0,0.0,0.0,0,24,35.5,0.0
TEMP_only,Combined SVM + baseline,S16,65,0.6307692307692307,0.6307692307692307,1.0,0.7735849056603773,0.0,0.0,0.0,0,24,39.0,0.2
TEMP_only,SVM only,S17,67,0.6865671641791045,0.8333333333333334,0.6097560975609756,0.7042253521126761,0.5675675675675675,0.8076923076923077,0.6666666666666666,16,5,26.5,
TEMP_only,Personalized baseline only,S17,67,0.835820895522388,1.0,0.7317073170731707,0.8450704225352113,0.7027027027027027,1.0,0.8253968253968255,11,0,35.5,0.0
TEMP_only,Combined SVM + baseline,S17,67,0.835820895522388,1.0,0.7317073170731707,0.8450704225352113,0.7027027027027027,1.0,0.8253968253968255,11,0,37.5,0.2
TEMP_only,SVM only,S2,63,0.9365079365079365,0.9090909090909091,1.0,0.9523809523809523,1.0,0.8260869565217391,0.9047619047619047,0,4,21.0,
TEMP_only,Personalized baseline only,S2,63,0.9523809523809523,1.0,0.925,0.961038961038961,0.8846153846153846,1.0,0.9387755102040816,3,0,35.5,0.0
TEMP_only,Combined SVM + baseline,S2,63,0.9523809523809523,1.0,0.925,0.961038961038961,0.8846153846153846,1.0,0.9387755102040816,3,0,34.0,0.1
TEMP_only,SVM only,S3,64,0.546875,1.0,0.275,0.4313725490196079,0.4528301886792453,1.0,0.6233766233766235,29,0,25.5,
TEMP_only,Personalized baseline only,S3,64,0.78125,0.7407407407407407,1.0,0.851063829787234,1.0,0.4166666666666667,0.5882352941176471,0,14,42.5,0.0
TEMP_only,Combined SVM + baseline,S3,64,0.84375,0.9411764705882353,0.8,0.8648648648648648,0.7333333333333333,0.9166666666666666,0.8148148148148148,8,2,37.0,0.2
TEMP_only,SVM only,S4,64,0.46875,1.0,0.17073170731707318,0.2916666666666667,0.40350877192982454,1.0,0.575,34,0,25.0,
TEMP_only,Personalized baseline only,S4,64,0.953125,1.0,0.926829268292683,0.9620253164556963,0.8846153846153846,1.0,0.9387755102040816,3,0,35.5,0.0
TEMP_only,Combined SVM + baseline,S4,64,0.9375,1.0,0.9024390243902439,0.9487179487179488,0.8518518518518519,1.0,0.92,4,0,37.5,0.2
TEMP_only,SVM only,S5,65,0.8307692307692308,0.8163265306122449,0.9523809523809523,0.8791208791208791,0.875,0.6086956521739131,0.717948717948718,2,9,20.0,
TEMP_only,Personalized baseline only,S5,65,0.8,1.0,0.6904761904761905,0.8169014084507042,0.6388888888888888,1.0,0.7796610169491525,13,0,35.5,0.0
TEMP_only,Combined SVM + baseline,S5,65,0.8307692307692308,0.9428571428571428,0.7857142857142857,0.8571428571428571,0.7,0.9130434782608695,0.7924528301886793,9,2,38.0,0.2
TEMP_only,SVM only,S6,65,0.6,1.0,0.36585365853658536,0.5357142857142857,0.48,1.0,0.6486486486486487,26,0,23.0,
TEMP_only,Personalized baseline only,S6,65,0.6615384615384615,0.7714285714285715,0.6585365853658537,0.7105263157894737,0.5333333333333333,0.6666666666666666,0.5925925925925926,14,8,35.5,0.0
TEMP_only,Combined SVM + baseline,S6,65,0.6923076923076923,0.8181818181818182,0.6585365853658537,0.7297297297297297,0.5625,0.75,0.6428571428571429,14,6,40.0,0.2
TEMP_only,SVM only,S7,64,0.703125,0.9583333333333334,0.5609756097560976,0.7076923076923077,0.55,0.9565217391304348,0.6984126984126985,18,1,18.5,
TEMP_only,Personalized baseline only,S7,64,0.890625,1.0,0.8292682926829268,0.9066666666666667,0.7666666666666667,1.0,0.8679245283018869,7,0,35.5,0.0
TEMP_only,Combined SVM + baseline,S7,64,0.90625,1.0,0.8536585365853658,0.9210526315789475,0.7931034482758621,1.0,0.8846153846153846,6,0,38.0,0.2
TEMP_only,SVM only,S8,66,0.8333333333333334,1.0,0.7317073170731707,0.8450704225352113,0.6944444444444444,1.0,0.819672131147541,11,0,18.5,
TEMP_only,Personalized baseline only,S8,66,0.8787878787878788,1.0,0.8048780487804879,0.8918918918918919,0.7575757575757576,1.0,0.8620689655172413,8,0,31.0,0.0
