system,mean_accuracy,mean_stress_precision,mean_stress_recall,mean_stress_f1,total_false_stress_alerts,total_missed_stress_windows,weak_subjects_under_0_70_f1
Personalized baseline only,0.9151927387841567,0.8581005946462935,0.9156908212560386,0.8760354355901224,52,30,1
Combined SVM + baseline,0.9143944181164331,0.8583061796825238,0.9056666666666667,0.8702688582729863,49,34,2
SVM only,0.839434655311521,0.7854926728342289,0.8595849126718692,0.7979355928835812,106,51,3
