feature,importance
BVP_0_median,0.06235062046551366
EDA_0_range,0.061657766850575425
EDA_0_max,0.060383835270362195
TEMP_0_max,0.06032442433645722
EDA_0_mean,0.05971978671721155
EDA_0_min,0.05619392364847348
EDA_0_median,0.054552799279002306
EDA_0_std,0.05393955008571561
TEMP_0_mean,0.05110324689093062
TEMP_0_median,0.050608785075278
TEMP_0_min,0.044316558306726435
ACC_2_median,0.03222896428500719
ACC_2_mean,0.025102277807137693
ACC_0_median,0.02212692614592712
TEMP_0_std,0.02162014254690533
ACC_0_max,0.019510372641382494
ACC_0_mean,0.01801548905619141
ACC_1_mean,0.016953407128222343
TEMP_0_range,0.015253564397153398
ACC_2_min,0.015131410788637114
BVP_0_std,0.014971561735315974
ACC_1_median,0.014757281985610602
ACC_0_min,0.013697279056776375
ACC_2_range,0.012774011603222467
ACC_1_max,0.012330459017957197
BVP_0_min,0.011150459258062528
BVP_0_range,0.009364018380060079
ACC_0_range,0.008677271120727194
ACC_1_min,0.008528873710335698
BVP_0_max,0.008160057492270344
ACC_0_kurtosis,0.007603852577091849
ACC_1_kurtosis,0.007090864811510672
ACC_2_kurtosis,0.006837059915900105
EDA_0_kurtosis,0.006526987935529115
ACC_1_range,0.006270273467395897
BVP_0_kurtosis,0.006226204448425804
ACC_2_max,0.006029723625059314
ACC_1_std,0.005863973007812112
ACC_2_std,0.005250691308643406
ACC_0_std,0.004427794030962051
EDA_0_skew,0.004337709746194349
BVP_0_skew,0.003298377476120441
ACC_0_skew,0.0032950708560379382
ACC_2_skew,0.00289618703511
TEMP_0_skew,0.0023057861899494774
BVP_0_mean,0.002190193502127105
TEMP_0_kurtosis,0.0021336165321494643
ACC_1_skew,0.0019105084508318614
