model,mean_f1,mean_stress_recall,mean_accuracy
SVM RBF,0.8331037843979775,0.8652402402402404,0.8681527995813709
Logistic Regression,0.7972319252196758,0.8600600600600601,0.8323914181057038
Random Forest,0.7861744190059975,0.7523273273273273,0.842647828362114
HistGradientBoosting,0.7500704830437217,0.7054054054054054,0.8252328623757196
