,precision,recall,f1-score,support
baseline,0.8598130841121495,0.8961038961038961,0.8775834658187599,616.0
stress,0.8095238095238095,0.7513812154696132,0.7793696275071632,362.0
accuracy,0.8425357873210634,0.8425357873210634,0.8425357873210634,0.8425357873210634
macro avg,0.8346684468179795,0.8237425557867546,0.8284765466629616,978.0
weighted avg,0.8411988536408007,0.8425357873210634,0.8412302864028111,978.0
